Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Using the latest cached version of the dataset since openai/openai_humaneval couldn't be found on the Hugging Face Hub
Found the latest cached dataset configuration 'openai_humaneval' at /home/szw/.cache/huggingface/datasets/openai___openai_humaneval/openai_humaneval/0.0.0/7dce6050a7d6d172f3cc5c32aa97f52fa1a2e544 (last modified on Mon Sep  7 11:02:20 2026).
[LOAD] Qwen2.5-Coder-7B-Instruct fp16 on cuda:3
  [C05 130/164] HumanEval/129 7882ms 84tok n=1
  [C05 131/164] HumanEval/130 24416ms 63tok n=1
  [C05 132/164] HumanEval/131 11303ms 99tok n=1
  [C05 133/164] HumanEval/132 10138ms 94tok n=1
  [C05 134/164] HumanEval/133 12517ms 129tok n=1
  [C05 135/164] HumanEval/134 48793ms 172tok n=1
  [C05 136/164] HumanEval/135 8104ms 81tok n=1
  [C05 137/164] HumanEval/136 66761ms 213tok n=1
  [C05 138/164] HumanEval/137 36865ms 274tok n=1
  [C05 139/164] HumanEval/138 35488ms 125tok n=1
  [C05 140/164] HumanEval/139 36137ms 189tok n=1
  [C05 141/164] HumanEval/140 39944ms 323tok n=1
  [C05 142/164] HumanEval/141 29323ms 205tok n=1
  [C05 143/164] HumanEval/142 30212ms 124tok n=1
  [C05 144/164] HumanEval/143 10764ms 132tok n=1
  [C05 145/164] HumanEval/144 13135ms 156tok n=1
  [C05 146/164] HumanEval/145 2098ms 27tok n=1
  [C05 147/164] HumanEval/146 17129ms 132tok n=1
  [C05 148/164] HumanEval/147 10277ms 30tok n=1
  [C05 149/164] HumanEval/148 24704ms 254tok n=1
  [C05 150/164] HumanEval/149 15552ms 125tok n=1
  [C05 151/164] HumanEval/150 8674ms 101tok n=1
  [C05 152/164] HumanEval/151 11785ms 106tok n=1
  [C05 153/164] HumanEval/152 6201ms 110tok n=1
  [C05 154/164] HumanEval/153 37649ms 281tok n=1
  [C05 155/164] HumanEval/154 11160ms 131tok n=1
  [C05 156/164] HumanEval/155 30987ms 283tok n=1
  [C05 157/164] HumanEval/156 49420ms 318tok n=1
  [C05 158/164] HumanEval/157 10213ms 108tok n=1
  [C05 159/164] HumanEval/158 11658ms 134tok n=1
  [C05 160/164] HumanEval/159 26064ms 130tok n=1
  [C05 161/164] HumanEval/160 14012ms 105tok n=1
  [C05 162/164] HumanEval/161 14922ms 146tok n=1
  [C05 163/164] HumanEval/162 37348ms 240tok n=1
  [C05 164/164] HumanEval/163 30948ms 274tok n=1
[DONE] C05
[LOAD] Qwen2.5-Coder-7B-Instruct int4 on cuda:3
Loading weights:   0%|          | 0/339 [00:00<?, ?it/s]Loading weights:   0%|          | 1/339 [00:00<01:39,  3.40it/s]Loading weights:   1%|          | 2/339 [00:00<01:39,  3.39it/s]Loading weights:   2%|▏         | 6/339 [00:00<00:30, 11.01it/s]Loading weights:   5%|▌         | 18/339 [00:00<00:09, 34.00it/s]Loading weights:   9%|▉         | 30/339 [00:00<00:06, 50.21it/s]Loading weights:  12%|█▏        | 42/339 [00:01<00:04, 61.34it/s]Loading weights:  16%|█▌        | 54/339 [00:01<00:04, 70.37it/s]Loading weights:  19%|█▉        | 66/339 [00:01<00:03, 76.71it/s]Loading weights:  23%|██▎       | 77/339 [00:01<00:03, 84.73it/s]Loading weights:  26%|██▋       | 89/339 [00:01<00:02, 86.98it/s]Loading weights:  30%|██▉       | 101/339 [00:01<00:02, 88.18it/s]Loading weights:  33%|███▎      | 112/339 [00:01<00:02, 93.14it/s]Loading weights:  37%|███▋      | 124/339 [00:01<00:02, 92.36it/s]Loading weights:  40%|████      | 136/339 [00:02<00:02, 92.40it/s]Loading weights:  43%|████▎     | 147/339 [00:02<00:01, 96.85it/s]Loading weights:  46%|████▋     | 157/339 [00:02<00:02, 89.84it/s]Loading weights:  49%|████▉     | 167/339 [00:02<00:01, 86.13it/s]Loading weights:  52%|█████▏    | 176/339 [00:02<00:02, 80.20it/s]Loading weights:  55%|█████▍    | 186/339 [00:02<00:01, 78.51it/s]Loading weights:  58%|█████▊    | 198/339 [00:02<00:01, 82.68it/s]Loading weights:  62%|██████▏   | 210/339 [00:02<00:01, 85.64it/s]Loading weights:  65%|██████▌   | 221/339 [00:03<00:01, 91.34it/s]Loading weights:  69%|██████▊   | 233/339 [00:03<00:01, 91.21it/s]Loading weights:  72%|███████▏  | 245/339 [00:03<00:01, 91.03it/s]Loading weights:  76%|███████▌  | 257/339 [00:03<00:00, 90.71it/s]Loading weights:  79%|███████▉  | 268/339 [00:03<00:00, 94.45it/s]Loading weights:  83%|████████▎ | 280/339 [00:03<00:00, 93.05it/s]Loading weights:  86%|████████▌ | 292/339 [00:03<00:00, 91.40it/s]Loading weights:  89%|████████▉ | 302/339 [00:03<00:00, 92.25it/s]Loading weights:  92%|█████████▏| 312/339 [00:04<00:00, 86.06it/s]Loading weights:  95%|█████████▍| 321/339 [00:04<00:00, 80.20it/s]Loading weights:  97%|█████████▋| 330/339 [00:04<00:00, 74.28it/s]Loading weights: 100%|██████████| 339/339 [00:04<00:00, 76.98it/s]
[LOAD] done in 5s
[LOAD] draft Qwen2.5-Coder-0.5B-Instruct
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights:   0%|          | 1/290 [00:00<00:39,  7.39it/s]Loading weights:  37%|███▋      | 107/290 [00:00<00:00, 503.65it/s]Loading weights:  66%|██████▌   | 192/290 [00:00<00:00, 642.31it/s]Loading weights:  91%|█████████ | 263/290 [00:00<00:00, 619.60it/s]Loading weights: 100%|██████████| 290/290 [00:00<00:00, 583.08it/s]
[RUN] C06 Qwen2.5-Coder-7B-Instruct/int4/speculative/greedy remaining=164
  [C06 1/164] HumanEval/0 4924ms 73tok n=1
  [C06 2/164] HumanEval/1 9911ms 113tok n=1
  [C06 3/164] HumanEval/2 71716ms 232tok n=1
  [C06 4/164] HumanEval/3 2859ms 52tok n=1
  [C06 5/164] HumanEval/4 33524ms 361tok n=1
  [C06 6/164] HumanEval/5 6295ms 101tok n=1
  [C06 7/164] HumanEval/6 8825ms 112tok n=1
  [C06 8/164] HumanEval/7 3493ms 51tok n=1
  [C06 9/164] HumanEval/8 6850ms 106tok n=1
  [C06 10/164] HumanEval/9 35740ms 306tok n=1
  [C06 11/164] HumanEval/10 6138ms 67tok n=1
  [C06 12/164] HumanEval/11 28720ms 512tok n=1
  [C06 13/164] HumanEval/12 5612ms 97tok n=1
  [C06 14/164] HumanEval/13 3757ms 42tok n=1
  [C06 15/164] HumanEval/14 3638ms 54tok n=1
  [C06 16/164] HumanEval/15 14750ms 208tok n=1
  [C06 17/164] HumanEval/16 17471ms 182tok n=1
  [C06 18/164] HumanEval/17 3741ms 64tok n=1
  [C06 19/164] HumanEval/18 4185ms 43tok n=1
  [C06 20/164] HumanEval/19 26562ms 336tok n=1
  [C06 21/164] HumanEval/20 14336ms 177tok n=1
  [C06 22/164] HumanEval/21 7615ms 99tok n=1
  [C06 23/164] HumanEval/22 6597ms 73tok n=1
  [C06 24/164] HumanEval/23 2451ms 25tok n=1
  [C06 25/164] HumanEval/24 22399ms 240tok n=1
  [C06 26/164] HumanEval/25 5271ms 69tok n=1
  [C06 27/164] HumanEval/26 7060ms 85tok n=1
  [C06 28/164] HumanEval/27 6529ms 58tok n=1
  [C06 29/164] HumanEval/28 2921ms 36tok n=1
  [C06 30/164] HumanEval/29 4738ms 44tok n=1
  [C06 31/164] HumanEval/30 5278ms 110tok n=1
  [C06 32/164] HumanEval/31 8326ms 145tok n=1
  [C06 33/164] HumanEval/32 17473ms 219tok n=1
  [C06 34/164] HumanEval/33 10950ms 76tok n=1
  [C06 35/164] HumanEval/34 3707ms 73tok n=1
  [C06 36/164] HumanEval/35 3229ms 72tok n=1
  [C06 37/164] HumanEval/36 19854ms 239tok n=1
  [C06 38/164] HumanEval/37 12762ms 84tok n=1
  [C06 39/164] HumanEval/38 10793ms 159tok n=1
  [C06 40/164] HumanEval/39 27667ms 282tok n=1
  [C06 41/164] HumanEval/40 22478ms 284tok n=1
  [C06 42/164] HumanEval/41 6939ms 61tok n=1
  [C06 43/164] HumanEval/42 6651ms 102tok n=1
  [C06 44/164] HumanEval/43 39621ms 316tok n=1
  [C06 45/164] HumanEval/44 4874ms 89tok n=1
  [C06 46/164] HumanEval/45 1611ms 42tok n=1
  [C06 47/164] HumanEval/46 15212ms 236tok n=1
  [C06 48/164] HumanEval/47 16117ms 225tok n=1
  [C06 49/164] HumanEval/48 9599ms 59tok n=1
  [C06 50/164] HumanEval/49 1877ms 30tok n=1
  [C06 51/164] HumanEval/50 17596ms 187tok n=1
  [C06 52/164] HumanEval/51 7862ms 108tok n=1
  [C06 53/164] HumanEval/52 19432ms 188tok n=1
  [C06 54/164] HumanEval/53 1889ms 26tok n=1
  [C06 55/164] HumanEval/54 18338ms 118tok n=1
  [C06 56/164] HumanEval/55 3697ms 86tok n=1
  [C06 57/164] HumanEval/56 27462ms 230tok n=1
  [C06 58/164] HumanEval/57 17834ms 185tok n=1
  [C06 59/164] HumanEval/58 3662ms 42tok n=1
  [C06 60/164] HumanEval/59 22363ms 282tok n=1
  [C06 61/164] HumanEval/60 11690ms 200tok n=1
  [C06 62/164] HumanEval/61 11535ms 116tok n=1
  [C06 63/164] HumanEval/62 18987ms 190tok n=1
  [C06 64/164] HumanEval/63 14092ms 213tok n=1
  [C06 65/164] HumanEval/64 9791ms 123tok n=1
  [C06 66/164] HumanEval/65 4585ms 77tok n=1
  [C06 67/164] HumanEval/66 7656ms 121tok n=1
  [C06 68/164] HumanEval/67 21947ms 203tok n=1
  [C06 69/164] HumanEval/68 5535ms 77tok n=1
  [C06 70/164] HumanEval/69 30283ms 140tok n=1
  [C06 71/164] HumanEval/70 22474ms 280tok n=1
  [C06 72/164] HumanEval/71 15223ms 163tok n=1
  [C06 73/164] HumanEval/72 1620ms 14tok n=1
  [C06 74/164] HumanEval/73 24845ms 211tok n=1
  [C06 75/164] HumanEval/74 11310ms 141tok n=1
  [C06 76/164] HumanEval/75 10437ms 192tok n=1
  [C06 77/164] HumanEval/76 13772ms 116tok n=1
  [C06 78/164] HumanEval/77 9341ms 96tok n=1
  [C06 79/164] HumanEval/78 20375ms 108tok n=1
  [C06 80/164] HumanEval/79 15336ms 247tok n=1
  [C06 81/164] HumanEval/80 10102ms 132tok n=1
  [C06 82/164] HumanEval/81 25934ms 362tok n=1
  [C06 83/164] HumanEval/82 7911ms 56tok n=1
  [C06 84/164] HumanEval/83 11112ms 96tok n=1
  [C06 85/164] HumanEval/84 26468ms 267tok n=1
  [C06 86/164] HumanEval/85 6376ms 105tok n=1
  [C06 87/164] HumanEval/86 15602ms 140tok n=1
  [C06 88/164] HumanEval/87 20862ms 184tok n=1
  [C06 89/164] HumanEval/88 23435ms 325tok n=1
  [C06 90/164] HumanEval/89 7507ms 74tok n=1
  [C06 91/164] HumanEval/90 24969ms 96tok n=1
  [C06 92/164] HumanEval/91 21582ms 228tok n=1
  [C06 93/164] HumanEval/92 5227ms 34tok n=1
  [C06 94/164] HumanEval/93 43863ms 285tok n=1
  [C06 95/164] HumanEval/94 18078ms 390tok n=1
  [C06 96/164] HumanEval/95 24465ms 252tok n=1
  [C06 97/164] HumanEval/96 9904ms 228tok n=1
  [C06 98/164] HumanEval/97 23463ms 194tok n=1
  [C06 99/164] HumanEval/98 16899ms 204tok n=1
  [C06 100/164] HumanEval/99 24988ms 277tok n=1
  [C06 101/164] HumanEval/100 24969ms 253tok n=1
  [C06 102/164] HumanEval/101 22532ms 227tok n=1
  [C06 103/164] HumanEval/102 25377ms 236tok n=1
  [C06 104/164] HumanEval/103 9217ms 120tok n=1
  [C06 105/164] HumanEval/104 10700ms 119tok n=1
  [C06 106/164] HumanEval/105 21808ms 345tok n=1
  [C06 107/164] HumanEval/106 6760ms 87tok n=1
  [C06 108/164] HumanEval/107 9635ms 177tok n=1
  [C06 109/164] HumanEval/108 20600ms 223tok n=1
  [C06 110/164] HumanEval/109 17383ms 171tok n=1
  [C06 111/164] HumanEval/110 17282ms 81tok n=1
  [C06 112/164] HumanEval/111 27905ms 245tok n=1
  [C06 113/164] HumanEval/112 4061ms 69tok n=1
  [C06 114/164] HumanEval/113 23543ms 240tok n=1
  [C06 115/164] HumanEval/114 37712ms 304tok n=1
  [C06 116/164] HumanEval/115 8724ms 151tok n=1
  [C06 117/164] HumanEval/116 12055ms 140tok n=1
  [C06 118/164] HumanEval/117 24395ms 287tok n=1
  [C06 119/164] HumanEval/118 10020ms 137tok n=1
  [C06 120/164] HumanEval/119 10059ms 158tok n=1
  [C06 121/164] HumanEval/120 5906ms 90tok n=1
  [C06 122/164] HumanEval/121 10904ms 78tok n=1
  [C06 123/164] HumanEval/122 7734ms 79tok n=1
  [C06 124/164] HumanEval/123 38116ms 302tok n=1
  [C06 125/164] HumanEval/124 55278ms 428tok n=1
  [C06 126/164] HumanEval/125 26290ms 169tok n=1
  [C06 127/164] HumanEval/126 5507ms 80tok n=1
  [C06 128/164] HumanEval/127 18899ms 198tok n=1
  [C06 129/164] HumanEval/128 19302ms 145tok n=1
  [C06 130/164] HumanEval/129 6264ms 84tok n=1
  [C06 131/164] HumanEval/130 13075ms 138tok n=1
  [C06 132/164] HumanEval/131 8364ms 114tok n=1
  [C06 133/164] HumanEval/132 13746ms 134tok n=1
  [C06 134/164] HumanEval/133 10182ms 131tok n=1
  [C06 135/164] HumanEval/134 40504ms 172tok n=1
  [C06 136/164] HumanEval/135 6601ms 81tok n=1
  [C06 137/164] HumanEval/136 21968ms 146tok n=1
  [C06 138/164] HumanEval/137 27656ms 250tok n=1
  [C06 139/164] HumanEval/138 18418ms 119tok n=1
  [C06 140/164] HumanEval/139 37659ms 212tok n=1
  [C06 141/164] HumanEval/140 17532ms 121tok n=1
  [C06 142/164] HumanEval/141 36560ms 209tok n=1
  [C06 143/164] HumanEval/142 14409ms 133tok n=1
  [C06 144/164] HumanEval/143 19940ms 240tok n=1
  [C06 145/164] HumanEval/144 6691ms 74tok n=1
  [C06 146/164] HumanEval/145 1799ms 27tok n=1
  [C06 147/164] HumanEval/146 14141ms 134tok n=1
  [C06 148/164] HumanEval/147 4795ms 29tok n=1
  [C06 149/164] HumanEval/148 5475ms 92tok n=1
  [C06 150/164] HumanEval/149 12584ms 125tok n=1
  [C06 151/164] HumanEval/150 17237ms 294tok n=1
  [C06 152/164] HumanEval/151 35440ms 259tok n=1
  [C06 153/164] HumanEval/152 5251ms 110tok n=1
  [C06 154/164] HumanEval/153 29497ms 294tok n=1
  [C06 155/164] HumanEval/154 9246ms 131tok n=1
  [C06 156/164] HumanEval/155 20629ms 204tok n=1
  [C06 157/164] HumanEval/156 41201ms 318tok n=1
  [C06 158/164] HumanEval/157 9504ms 103tok n=1
  [C06 159/164] HumanEval/158 11120ms 134tok n=1
  [C06 160/164] HumanEval/159 12671ms 129tok n=1
  [C06 161/164] HumanEval/160 7076ms 75tok n=1
  [C06 162/164] HumanEval/161 10156ms 158tok n=1
  [C06 163/164] HumanEval/162 28487ms 250tok n=1
  [C06 164/164] HumanEval/163 24697ms 271tok n=1
[DONE] C06
=== HEPLUS GEN ALL DONE ===
